ObjectID,Session_Name,Timestamp,Latitude,Longitude,PM 10,PM 2.5
1,A walk around Banda,2026-02-17T10:13:59.000,0.347009,32.6364012,64,41
2,A walk around Banda,2026-02-17T10:14:00.000,0.3470077,32.6364013,64,41
3,A walk around Banda,2026-02-17T10:14:01.000,0.3470093,32.6364022,66,43
4,A walk around Banda,2026-02-17T10:14:02.000,0.3470104,32.6364029,79,49
5,A walk around Banda,2026-02-17T10:14:03.000,0.3470064,32.6364059,79,49
6,A walk around Banda,2026-02-17T10:14:04.000,0.3470008,32.6364128,85,52
7,A walk around Banda,2026-02-17T10:14:05.000,0.3469961,32.6364223,104,62
8,A walk around Banda,2026-02-17T10:14:06.000,0.3469884,32.6364284,110,65
9,A walk around Banda,2026-02-17T10:14:07.000,0.3469835,32.6364334,133,76
10,A walk around Banda,2026-02-17T10:14:08.000,0.3469952,32.6364399,139,79
11,A walk around Banda,2026-02-17T10:14:09.000,0.3470196,32.6364416,153,86
12,A walk around Banda,2026-02-17T10:14:10.000,0.3470323,32.6364439,160,90
13,A walk around Banda,2026-02-17T10:14:11.000,0.3470384,32.6364451,164,91
14,A walk around Banda,2026-02-17T10:14:12.000,0.3470457,32.6364443,162,90
15,A walk around Banda,2026-02-17T10:14:13.000,0.3470501,32.6364427,160,90
16,A walk around Banda,2026-02-17T10:14:14.000,0.3470527,32.6364398,157,88
17,A walk around Banda,2026-02-17T10:14:15.000,0.3470512,32.6364371,157,88
18,A walk around Banda,2026-02-17T10:14:16.000,0.3470587,32.636438,146,83
19,A walk around Banda,2026-02-17T10:14:17.000,0.3470632,32.6364387,146,83
20,A walk around Banda,2026-02-17T10:14:18.000,0.347063,32.6364393,139,79
21,A walk around Banda,2026-02-17T10:14:19.000,0.3470606,32.6364392,123,71
22,A walk around Banda,2026-02-17T10:14:20.000,0.3470574,32.636439,104,62
23,A walk around Banda,2026-02-17T10:14:21.000,0.3470534,32.6364385,98,58
24,A walk around Banda,2026-02-17T10:14:22.000,0.3470493,32.6364402,91,55
25,A walk around Banda,2026-02-17T10:14:23.000,0.347047,32.6364412,85,52
26,A walk around Banda,2026-02-17T10:14:24.000,0.347058,32.6364396,85,52
27,A walk around Banda,2026-02-17T10:14:26.000,0.3470665,32.6364364,,
28,A walk around Banda,2026-02-17T10:14:26.000,0.3470637,32.636437,,
29,A walk around Banda,2026-02-17T10:14:26.000,0.3470665,32.6364364,91,
30,A walk around Banda,2026-02-17T10:14:26.000,0.3470637,32.636437,85,
31,A walk around Banda,2026-02-17T10:14:26.000,0.3470665,32.6364364,,55
32,A walk around Banda,2026-02-17T10:14:26.000,0.3470637,32.636437,,52
33,A walk around Banda,2026-02-17T10:14:26.000,0.3470665,32.6364364,,
34,A walk around Banda,2026-02-17T10:14:28.000,0.347066,32.6364347,85,52
35,A walk around Banda,2026-02-17T10:14:29.000,0.3470678,32.63643,85,52
36,A walk around Banda,2026-02-17T10:14:31.000,0.3470718,32.6364177,79,49
37,A walk around Banda,2026-02-17T10:14:32.000,0.3470771,32.6364135,79,49
38,A walk around Banda,2026-02-17T10:14:33.000,0.347081,32.6364044,79,49
39,A walk around Banda,2026-02-17T10:14:34.000,0.3470844,32.6363935,79,49
40,A walk around Banda,2026-02-17T10:14:35.000,0.347089,32.6363833,76,47
41,A walk around Banda,2026-02-17T10:14:36.000,0.347093,32.6363738,73,46
42,A walk around Banda,2026-02-17T10:14:37.000,0.3470961,32.6363655,73,46
43,A walk around Banda,2026-02-17T10:14:38.000,0.3470973,32.6363574,79,49
44,A walk around Banda,2026-02-17T10:14:39.000,0.3471027,32.6363371,79,49
45,A walk around Banda,2026-02-17T10:14:40.000,0.3471061,32.6363225,79,49
46,A walk around Banda,2026-02-17T10:14:41.000,0.347106,32.6363096,79,49
47,A walk around Banda,2026-02-17T10:14:42.000,0.3471071,32.6362994,79,49
48,A walk around Banda,2026-02-17T10:14:43.000,0.3471078,32.6362904,79,49
49,A walk around Banda,2026-02-17T10:14:44.000,0.3471081,32.6362802,79,49
