ObjectID,Session_Name,Timestamp,Latitude,Longitude,PM 10,PM 2.5
1,Kinamwandu Downtown cooking,2025-07-03T14:33:15.000,0.3153391,32.5759011,624,321
2,Kinamwandu Downtown cooking,2025-07-03T14:33:16.000,0.3153393,32.5759024,616,318
3,Kinamwandu Downtown cooking,2025-07-03T14:33:17.000,0.3153403,32.575904,608,314
4,Kinamwandu Downtown cooking,2025-07-03T14:33:18.000,0.3153417,32.575906,604,312
5,Kinamwandu Downtown cooking,2025-07-03T14:33:19.000,0.3153429,32.575908,601,310
6,Kinamwandu Downtown cooking,2025-07-03T14:33:20.000,0.3153442,32.5759109,601,310
7,Kinamwandu Downtown cooking,2025-07-03T14:33:21.000,0.3153448,32.5759129,597,308
8,Kinamwandu Downtown cooking,2025-07-03T14:33:22.000,0.315344,32.5759146,589,304
9,Kinamwandu Downtown cooking,2025-07-03T14:33:23.000,0.3153429,32.5759146,581,300
10,Kinamwandu Downtown cooking,2025-07-03T14:33:24.000,0.3153421,32.5759145,570,294
11,Kinamwandu Downtown cooking,2025-07-03T14:33:25.000,0.3153411,32.5759138,554,287
12,Kinamwandu Downtown cooking,2025-07-03T14:33:26.000,0.3153407,32.5759123,543,281
13,Kinamwandu Downtown cooking,2025-07-03T14:33:27.000,0.315339,32.5759029,521,270
14,Kinamwandu Downtown cooking,2025-07-03T14:33:28.000,0.315339,32.5759029,492,256
15,Kinamwandu Downtown cooking,2025-07-03T14:33:29.000,0.3153362,32.5758881,481,250
16,Kinamwandu Downtown cooking,2025-07-03T14:33:30.000,0.3153348,32.5758821,469,244
17,Kinamwandu Downtown cooking,2025-07-03T14:33:31.000,0.3153346,32.5758806,473,246
18,Kinamwandu Downtown cooking,2025-07-03T14:33:32.000,0.3153348,32.575878,469,244
19,Kinamwandu Downtown cooking,2025-07-03T14:33:33.000,0.3153361,32.5758748,469,244
20,Kinamwandu Downtown cooking,2025-07-03T14:33:34.000,0.3153405,32.5758724,477,248
21,Kinamwandu Downtown cooking,2025-07-03T14:33:35.000,0.315342,32.5758907,477,248
22,Kinamwandu Downtown cooking,2025-07-03T14:33:36.000,0.3153434,32.5758908,477,248
23,Kinamwandu Downtown cooking,2025-07-03T14:33:37.000,0.3153456,32.5758878,477,248
24,Kinamwandu Downtown cooking,2025-07-03T14:33:38.000,0.315348,32.5758849,477,248
25,Kinamwandu Downtown cooking,2025-07-03T14:33:39.000,0.3153597,32.5758805,469,244
26,Kinamwandu Downtown cooking,2025-07-03T14:33:40.000,0.3153597,32.5758805,465,242
27,Kinamwandu Downtown cooking,2025-07-03T14:33:41.000,0.315383,32.5758677,457,238
28,Kinamwandu Downtown cooking,2025-07-03T14:33:42.000,0.315396,32.575846,442,230
29,Kinamwandu Downtown cooking,2025-07-03T14:33:43.000,0.3154075,32.5758263,438,228
30,Kinamwandu Downtown cooking,2025-07-03T14:33:44.000,0.3154162,32.5758104,407,213
31,Kinamwandu Downtown cooking,2025-07-03T14:33:45.000,0.3154276,32.5757969,395,207
32,Kinamwandu Downtown cooking,2025-07-03T14:33:46.000,0.3154332,32.5757836,376,197
33,Kinamwandu Downtown cooking,2025-07-03T14:33:47.000,0.3154358,32.5757701,357,188
34,Kinamwandu Downtown cooking,2025-07-03T14:33:48.000,0.3154312,32.5757567,333,176
35,Kinamwandu Downtown cooking,2025-07-03T14:33:49.000,0.3154271,32.5757461,322,170
36,Kinamwandu Downtown cooking,2025-07-03T14:33:50.000,0.3154255,32.5757362,329,174
37,Kinamwandu Downtown cooking,2025-07-03T14:33:51.000,0.3154266,32.575727,329,174
38,Kinamwandu Downtown cooking,2025-07-03T14:33:52.000,0.3154309,32.5757218,322,170
39,Kinamwandu Downtown cooking,2025-07-03T14:33:53.000,0.3154309,32.5757218,329,174
40,Kinamwandu Downtown cooking,2025-07-03T14:33:54.000,0.3154356,32.5757286,314,166
41,Kinamwandu Downtown cooking,2025-07-03T14:33:55.000,0.3154347,32.5757317,306,163
42,Kinamwandu Downtown cooking,2025-07-03T14:33:56.000,0.315434,32.5757357,288,153
43,Kinamwandu Downtown cooking,2025-07-03T14:33:57.000,0.3154342,32.5757373,274,146
44,Kinamwandu Downtown cooking,2025-07-03T14:33:58.000,0.3154344,32.5757375,267,143
45,Kinamwandu Downtown cooking,2025-07-03T14:33:59.000,0.3154348,32.5757375,264,141
46,Kinamwandu Downtown cooking,2025-07-03T14:34:00.000,0.3154332,32.575735,257,138
47,Kinamwandu Downtown cooking,2025-07-03T14:34:01.000,0.3154313,32.5757328,253,136
48,Kinamwandu Downtown cooking,2025-07-03T14:34:02.000,0.3154307,32.5757334,246,133
49,Kinamwandu Downtown cooking,2025-07-03T14:34:03.000,0.3154301,32.5757336,243,131
50,Kinamwandu Downtown cooking,2025-07-03T14:34:04.000,0.3154298,32.5757334,243,131
51,Kinamwandu Downtown cooking,2025-07-03T14:34:05.000,0.3154294,32.5757336,236,127
52,Kinamwandu Downtown cooking,2025-07-03T14:34:06.000,0.3154276,32.5757304,236,127
53,Kinamwandu Downtown cooking,2025-07-03T14:34:07.000,0.3154261,32.5757278,239,129
54,Kinamwandu Downtown cooking,2025-07-03T14:34:08.000,0.3154252,32.5757246,236,127
55,Kinamwandu Downtown cooking,2025-07-03T14:34:09.000,0.3154253,32.5757238,236,127
56,Kinamwandu Downtown cooking,2025-07-03T14:34:10.000,0.3154251,32.5757234,239,129
57,Kinamwandu Downtown cooking,2025-07-03T14:34:11.000,0.3154251,32.5757232,239,129
58,Kinamwandu Downtown cooking,2025-07-03T14:34:12.000,0.3154241,32.5757214,243,131
59,Kinamwandu Downtown cooking,2025-07-03T14:34:13.000,0.3154197,32.5757174,236,127
60,Kinamwandu Downtown cooking,2025-07-03T14:34:14.000,0.3154172,32.5757165,236,127
61,Kinamwandu Downtown cooking,2025-07-03T14:34:15.000,0.3154182,32.5757177,236,127
62,Kinamwandu Downtown cooking,2025-07-03T14:34:16.000,0.3154164,32.5757189,227,123
63,Kinamwandu Downtown cooking,2025-07-03T14:34:17.000,0.3154158,32.5757195,226,122
64,Kinamwandu Downtown cooking,2025-07-03T14:34:18.000,0.315416,32.5757194,226,122
65,Kinamwandu Downtown cooking,2025-07-03T14:34:19.000,0.3154161,32.5757201,226,122
66,Kinamwandu Downtown cooking,2025-07-03T14:34:20.000,0.3154168,32.5757211,226,122
67,Kinamwandu Downtown cooking,2025-07-03T14:34:21.000,0.3154171,32.5757225,226,122
68,Kinamwandu Downtown cooking,2025-07-03T14:34:22.000,0.3154158,32.575722,233,126
69,Kinamwandu Downtown cooking,2025-07-03T14:34:23.000,0.3154133,32.5757223,236,127
70,Kinamwandu Downtown cooking,2025-07-03T14:34:24.000,0.3154103,32.5757238,236,127
71,Kinamwandu Downtown cooking,2025-07-03T14:34:25.000,0.3154071,32.5757278,236,127
72,Kinamwandu Downtown cooking,2025-07-03T14:34:26.000,0.315404,32.575734,246,133
73,Kinamwandu Downtown cooking,2025-07-03T14:34:27.000,0.3154009,32.5757413,246,133
74,Kinamwandu Downtown cooking,2025-07-03T14:34:28.000,0.3153975,32.5757492,243,131
75,Kinamwandu Downtown cooking,2025-07-03T14:34:29.000,0.3153927,32.5757565,243,131
76,Kinamwandu Downtown cooking,2025-07-03T14:34:30.000,0.3153874,32.5757638,250,134
77,Kinamwandu Downtown cooking,2025-07-03T14:34:31.000,0.3153839,32.5757722,250,134
78,Kinamwandu Downtown cooking,2025-07-03T14:34:32.000,0.3153805,32.5757779,250,134
79,Kinamwandu Downtown cooking,2025-07-03T14:34:33.000,0.3153772,32.5757796,257,138
80,Kinamwandu Downtown cooking,2025-07-03T14:34:34.000,0.3153761,32.5757802,264,141
81,Kinamwandu Downtown cooking,2025-07-03T14:34:35.000,0.3153762,32.5757801,265,142
82,Kinamwandu Downtown cooking,2025-07-03T14:34:36.000,0.3153748,32.5757806,264,141
83,Kinamwandu Downtown cooking,2025-07-03T14:34:37.000,0.3153706,32.5757829,260,140
