ObjectID,Session_Name,Timestamp,Latitude,Longitude,PM 10,PM 2.5
1,A mobile session along bombo road,2026-02-17T11:31:44.000,0.3336427,32.6180234,138,78
2,A mobile session along bombo road,2026-02-17T11:31:45.000,0.3336309,32.6180117,133,76
3,A mobile session along bombo road,2026-02-17T11:31:46.000,0.3336196,32.6180012,136,77
4,A mobile session along bombo road,2026-02-17T11:31:47.000,0.3336086,32.6179905,136,77
5,A mobile session along bombo road,2026-02-17T11:31:48.000,0.3335975,32.6179801,136,77
6,A mobile session along bombo road,2026-02-17T11:31:49.000,0.3335824,32.6179669,133,76
7,A mobile session along bombo road,2026-02-17T11:31:51.000,0.3335682,32.6179527,129,74
8,A mobile session along bombo road,2026-02-17T11:31:52.000,0.3335311,32.6178952,133,76
9,A mobile session along bombo road,2026-02-17T11:31:54.000,0.3334929,32.617831,153,86
10,A mobile session along bombo road,2026-02-17T11:31:55.000,0.333457,32.6177953,164,91
11,A mobile session along bombo road,2026-02-17T11:31:56.000,0.3334322,32.6177666,164,91
12,A mobile session along bombo road,2026-02-17T11:31:57.000,0.3334021,32.617731,215,117
13,A mobile session along bombo road,2026-02-17T11:31:58.000,0.3333687,32.6176928,288,153
14,A mobile session along bombo road,2026-02-17T11:31:59.000,0.3333361,32.6176555,357,188
15,A mobile session along bombo road,2026-02-17T11:32:00.000,0.3333018,32.6176137,426,223
16,A mobile session along bombo road,2026-02-17T11:32:01.000,0.3332651,32.6175716,484,252
17,A mobile session along bombo road,2026-02-17T11:32:02.000,0.3332238,32.6175259,591,305
18,A mobile session along bombo road,2026-02-17T11:32:03.000,0.3331966,32.6174714,690,354
19,A mobile session along bombo road,2026-02-17T11:32:04.000,0.3331621,32.6174259,728,374
20,A mobile session along bombo road,2026-02-17T11:32:05.000,0.3331399,32.6173788,732,376
21,A mobile session along bombo road,2026-02-17T11:32:06.000,0.3331073,32.6173342,709,364
22,A mobile session along bombo road,2026-02-17T11:32:07.000,0.3330764,32.6172893,686,352
23,A mobile session along bombo road,2026-02-17T11:32:08.000,0.3330438,32.6172479,670,345
24,A mobile session along bombo road,2026-02-17T11:32:09.000,0.3330127,32.6172045,655,337
25,A mobile session along bombo road,2026-02-17T11:32:10.000,0.3329813,32.6171633,608,314
26,A mobile session along bombo road,2026-02-17T11:32:11.000,0.3329399,32.6171187,562,290
27,A mobile session along bombo road,2026-02-17T11:32:12.000,0.3329108,32.6170779,515,267
28,A mobile session along bombo road,2026-02-17T11:32:13.000,0.3328804,32.6170372,484,252
29,A mobile session along bombo road,2026-02-17T11:32:14.000,0.3328484,32.6169947,450,234
30,A mobile session along bombo road,2026-02-17T11:32:15.000,0.3328144,32.6169534,426,223
31,A mobile session along bombo road,2026-02-17T11:32:16.000,0.3327773,32.616914,438,228
32,A mobile session along bombo road,2026-02-17T11:32:17.000,0.3327409,32.6168748,422,221
33,A mobile session along bombo road,2026-02-17T11:32:18.000,0.3327051,32.6168382,411,215
34,A mobile session along bombo road,2026-02-17T11:32:20.000,0.3326281,32.6167609,430,217
35,A mobile session along bombo road,2026-02-17T11:32:22.000,0.332552,32.6166777,426,223
36,A mobile session along bombo road,2026-02-17T11:32:23.000,0.3325161,32.6166326,426,223
37,A mobile session along bombo road,2026-02-17T11:32:24.000,0.3325161,32.6166326,426,223
38,A mobile session along bombo road,2026-02-17T11:32:25.000,0.3324527,32.6165406,419,219
39,A mobile session along bombo road,2026-02-17T11:32:26.000,0.3324265,32.6164905,411,215
40,A mobile session along bombo road,2026-02-17T11:32:27.000,0.3323942,32.6164467,399,209
41,A mobile session along bombo road,2026-02-17T11:32:28.000,0.3323646,32.6163955,388,203
42,A mobile session along bombo road,2026-02-17T11:32:29.000,0.3323354,32.6163458,368,194
43,A mobile session along bombo road,2026-02-17T11:32:30.000,0.3323137,32.6163017,353,186
44,A mobile session along bombo road,2026-02-17T11:32:31.000,0.3322859,32.6162746,364,192
45,A mobile session along bombo road,2026-02-17T11:32:32.000,0.3322632,32.6162451,376,197
46,A mobile session along bombo road,2026-02-17T11:32:33.000,0.3322476,32.6162284,376,197
47,A mobile session along bombo road,2026-02-17T11:32:34.000,0.332224,32.6162035,388,203
48,A mobile session along bombo road,2026-02-17T11:32:35.000,0.3321927,32.6161803,384,201
49,A mobile session along bombo road,2026-02-17T11:32:36.000,0.3321669,32.6161512,388,203
50,A mobile session along bombo road,2026-02-17T11:32:37.000,0.3321332,32.6161189,368,194
51,A mobile session along bombo road,2026-02-17T11:32:38.000,0.3320998,32.6160811,376,197
52,A mobile session along bombo road,2026-02-17T11:32:39.000,0.3320656,32.6160408,372,196
53,A mobile session along bombo road,2026-02-17T11:32:40.000,0.3320343,32.6159976,364,192
54,A mobile session along bombo road,2026-02-17T11:32:41.000,0.3319996,32.6159528,335,177
55,A mobile session along bombo road,2026-02-17T11:32:42.000,0.3319588,32.6159113,298,159
56,A mobile session along bombo road,2026-02-17T11:32:43.000,0.3319178,32.6158716,281,150
57,A mobile session along bombo road,2026-02-17T11:32:44.000,0.3318741,32.6158267,253,136
58,A mobile session along bombo road,2026-02-17T11:32:45.000,0.3318361,32.6157845,246,133
59,A mobile session along bombo road,2026-02-17T11:32:46.000,0.3318022,32.6157439,233,126
60,A mobile session along bombo road,2026-02-17T11:32:47.000,0.3317726,32.6157067,208,114
61,A mobile session along bombo road,2026-02-17T11:32:48.000,0.3317502,32.6156769,198,109
62,A mobile session along bombo road,2026-02-17T11:32:49.000,0.33173,32.6156589,250,134
63,A mobile session along bombo road,2026-02-17T11:32:51.000,0.3317141,32.615642,326,172
64,A mobile session along bombo road,2026-02-17T11:32:53.000,0.3316968,32.6156237,364,192
65,A mobile session along bombo road,2026-02-17T11:32:54.000,0.3316892,32.6156134,403,211
66,A mobile session along bombo road,2026-02-17T11:32:55.000,0.3316832,32.6156064,457,238
67,A mobile session along bombo road,2026-02-17T11:32:56.000,0.3316759,32.6155974,515,267
68,A mobile session along bombo road,2026-02-17T11:32:57.000,0.3316636,32.6155846,550,285
69,A mobile session along bombo road,2026-02-17T11:32:58.000,0.3316488,32.6155697,577,298
70,A mobile session along bombo road,2026-02-17T11:32:59.000,0.3316358,32.6155572,554,287
71,A mobile session along bombo road,2026-02-17T11:33:00.000,0.3316239,32.615544,531,275
72,A mobile session along bombo road,2026-02-17T11:33:01.000,0.3316085,32.6155299,492,256
73,A mobile session along bombo road,2026-02-17T11:33:02.000,0.3315924,32.6155173,484,252
74,A mobile session along bombo road,2026-02-17T11:33:03.000,0.3315769,32.6155045,477,248
75,A mobile session along bombo road,2026-02-17T11:33:04.000,0.3315607,32.6154892,469,244
76,A mobile session along bombo road,2026-02-17T11:33:05.000,0.3315461,32.6154727,461,240
77,A mobile session along bombo road,2026-02-17T11:33:06.000,0.3315269,32.6154502,457,238
78,A mobile session along bombo road,2026-02-17T11:33:07.000,0.3315045,32.6154225,434,227
79,A mobile session along bombo road,2026-02-17T11:33:08.000,0.3314799,32.6153905,430,225
80,A mobile session along bombo road,2026-02-17T11:33:09.000,0.3314522,32.6153551,453,236
81,A mobile session along bombo road,2026-02-17T11:33:10.000,0.3314158,32.6153185,446,232
82,A mobile session along bombo road,2026-02-17T11:33:11.000,0.331391,32.6152796,453,236
83,A mobile session along bombo road,2026-02-17T11:33:12.000,0.3313534,32.6152405,411,215
84,A mobile session along bombo road,2026-02-17T11:33:13.000,0.3313216,32.615203,372,196
85,A mobile session along bombo road,2026-02-17T11:33:14.000,0.3312932,32.6151675,341,180
86,A mobile session along bombo road,2026-02-17T11:33:15.000,0.3312584,32.6151343,318,168
87,A mobile session along bombo road,2026-02-17T11:33:16.000,0.3312316,32.6151005,306,163
88,A mobile session along bombo road,2026-02-17T11:33:17.000,0.3312064,32.6150782,302,161
89,A mobile session along bombo road,2026-02-17T11:33:18.000,0.3311796,32.6150542,277,148
90,A mobile session along bombo road,2026-02-17T11:33:19.000,0.3311561,32.6150327,243,131
