ObjectID,Session_Name,Timestamp,Latitude,Longitude,PM 10,PM 2.5
1,youth for earth,2026-02-24T06:16:52.000,0.3673045,32.6420553,8,7
2,youth for earth,2026-02-24T06:16:53.000,0.3673045,32.6420553,2,2
3,youth for earth,2026-02-24T06:16:54.000,0.3673045,32.6420553,4,3
4,youth for earth,2026-02-24T06:16:55.000,0.3673045,32.6420553,4,3
5,youth for earth,2026-02-24T06:16:56.000,0.3673045,32.6420553,4,3
6,youth for earth,2026-02-24T06:16:57.000,0.3673045,32.6420553,4,3
7,youth for earth,2026-02-24T06:16:58.000,0.3673045,32.6420553,4,3
8,youth for earth,2026-02-24T06:16:59.000,0.3673045,32.6420553,4,3
9,youth for earth,2026-02-24T06:17:00.000,0.3673056,32.6420561,6,6
10,youth for earth,2026-02-24T06:17:01.000,0.3673053,32.6420561,7,7
11,youth for earth,2026-02-24T06:17:02.000,0.3673053,32.6420561,7,7
12,youth for earth,2026-02-24T06:17:03.000,0.3673053,32.6420561,7,7
13,youth for earth,2026-02-24T06:17:04.000,0.3673054,32.6420565,7,7
14,youth for earth,2026-02-24T06:17:05.000,0.3673054,32.6420565,7,7
15,youth for earth,2026-02-24T06:17:06.000,0.3673068,32.6420558,7,7
16,youth for earth,2026-02-24T06:17:07.000,0.3673092,32.6420551,8,8
17,youth for earth,2026-02-24T06:17:08.000,0.3673116,32.6420544,11,10
18,youth for earth,2026-02-24T06:17:09.000,0.3673129,32.6420548,13,13
19,youth for earth,2026-02-24T06:17:10.000,0.3673149,32.6420545,14,14
20,youth for earth,2026-02-24T06:17:11.000,0.3673174,32.6420538,14,14
21,youth for earth,2026-02-24T06:17:12.000,0.3673187,32.6420525,16,15
22,youth for earth,2026-02-24T06:17:13.000,0.3673194,32.642052,18,17
23,youth for earth,2026-02-24T06:17:14.000,0.3673194,32.642052,24,21
24,youth for earth,2026-02-24T06:17:15.000,0.3673194,32.642052,32,25
25,youth for earth,2026-02-24T06:17:16.000,0.3673194,32.642052,32,25
26,youth for earth,2026-02-24T06:17:17.000,0.3673194,32.642052,29,24
27,youth for earth,2026-02-24T06:17:18.000,0.367326,32.6420503,27,23
28,youth for earth,2026-02-24T06:17:19.000,0.367326,32.6420503,29,24
29,youth for earth,2026-02-24T06:17:21.000,0.367326,32.6420503,29,24
30,youth for earth,2026-02-24T06:17:23.000,0.367326,32.6420503,54,36
31,youth for earth,2026-02-24T06:17:24.000,0.367326,32.6420503,47,33
32,youth for earth,2026-02-24T06:17:25.000,0.367326,32.6420503,47,33
33,youth for earth,2026-02-24T06:17:26.000,0.367326,32.6420503,54,36
34,youth for earth,2026-02-24T06:17:27.000,0.367326,32.6420503,66,43
35,youth for earth,2026-02-24T06:17:28.000,0.367326,32.6420503,73,46
36,youth for earth,2026-02-24T06:17:29.000,0.367326,32.6420503,79,49
37,youth for earth,2026-02-24T06:17:30.000,0.367326,32.6420503,85,52
38,youth for earth,2026-02-24T06:17:31.000,0.367326,32.6420503,85,52
39,youth for earth,2026-02-24T06:17:32.000,0.367326,32.6420503,85,52
40,youth for earth,2026-02-24T06:17:33.000,0.367326,32.6420503,98,58
41,youth for earth,2026-02-24T06:17:34.000,0.367326,32.6420503,98,58
42,youth for earth,2026-02-24T06:17:35.000,0.367326,32.6420503,98,58
43,youth for earth,2026-02-24T06:17:36.000,0.367326,32.6420503,104,62
44,youth for earth,2026-02-24T06:17:37.000,0.367326,32.6420503,104,62
45,youth for earth,2026-02-24T06:17:38.000,0.367326,32.6420503,110,65
46,youth for earth,2026-02-24T06:17:39.000,0.367326,32.6420503,110,65
47,youth for earth,2026-02-24T06:17:40.000,0.367326,32.6420503,117,68
48,youth for earth,2026-02-24T06:17:41.000,0.367326,32.6420503,110,65
49,youth for earth,2026-02-24T06:17:42.000,0.367326,32.6420503,110,65
50,youth for earth,2026-02-24T06:17:43.000,0.367326,32.6420503,110,65
51,youth for earth,2026-02-24T06:17:44.000,0.367326,32.6420503,110,65
52,youth for earth,2026-02-24T06:17:45.000,0.367326,32.6420503,110,65
53,youth for earth,2026-02-24T06:17:46.000,0.367326,32.6420503,104,62
54,youth for earth,2026-02-24T06:17:47.000,0.367326,32.6420503,98,58
55,youth for earth,2026-02-24T06:17:48.000,0.367326,32.6420503,85,52
56,youth for earth,2026-02-24T06:17:50.000,0.367326,32.6420503,73,46
57,youth for earth,2026-02-24T06:17:52.000,0.367326,32.6420503,66,43
58,youth for earth,2026-02-24T06:17:53.000,0.367326,32.6420503,66,43
59,youth for earth,2026-02-24T06:17:54.000,0.367326,32.6420503,66,43
60,youth for earth,2026-02-24T06:17:55.000,0.367326,32.6420503,54,36
61,youth for earth,2026-02-24T06:17:56.000,0.367326,32.6420503,34,26
62,youth for earth,2026-02-24T06:17:57.000,0.367326,32.6420503,29,24
63,youth for earth,2026-02-24T06:17:58.000,0.367326,32.6420503,32,25
64,youth for earth,2026-02-24T06:17:59.000,0.367326,32.6420503,47,33
65,youth for earth,2026-02-24T06:18:00.000,0.367326,32.6420503,54,36
66,youth for earth,2026-02-24T06:18:01.000,0.367326,32.6420503,54,36
67,youth for earth,2026-02-24T06:18:02.000,0.367326,32.6420503,60,39
68,youth for earth,2026-02-24T06:18:03.000,0.367326,32.6420503,60,39
69,youth for earth,2026-02-24T06:18:04.000,0.367326,32.6420503,73,46
70,youth for earth,2026-02-24T06:18:05.000,0.367326,32.6420503,82,50
71,youth for earth,2026-02-24T06:18:06.000,0.367326,32.6420503,85,52
72,youth for earth,2026-02-24T06:18:07.000,0.367326,32.6420503,91,55
73,youth for earth,2026-02-24T06:18:08.000,0.367326,32.6420503,91,55
74,youth for earth,2026-02-24T06:18:09.000,0.367326,32.6420503,85,52
75,youth for earth,2026-02-24T06:18:10.000,0.367326,32.6420503,85,52
76,youth for earth,2026-02-24T06:18:11.000,0.367326,32.6420503,79,49
77,youth for earth,2026-02-24T06:18:12.000,0.367326,32.6420503,69,44
78,youth for earth,2026-02-24T06:18:13.000,0.367326,32.6420503,66,43
79,youth for earth,2026-02-24T06:18:14.000,0.367326,32.6420503,60,39
80,youth for earth,2026-02-24T06:18:15.000,0.367326,32.6420503,60,39
81,youth for earth,2026-02-24T06:18:16.000,0.367326,32.6420503,54,36
82,youth for earth,2026-02-24T06:18:17.000,0.367326,32.6420503,42,30
83,youth for earth,2026-02-24T06:18:19.000,0.367326,32.6420503,42,28
84,youth for earth,2026-02-24T06:18:21.000,0.367326,32.6420503,30,25
85,youth for earth,2026-02-24T06:18:22.000,0.367326,32.6420503,32,25
86,youth for earth,2026-02-24T06:18:23.000,0.367326,32.6420503,32,25
87,youth for earth,2026-02-24T06:18:24.000,0.367326,32.6420503,37,28
88,youth for earth,2026-02-24T06:18:25.000,0.367326,32.6420503,42,30
89,youth for earth,2026-02-24T06:18:26.000,0.367326,32.6420503,47,33
90,youth for earth,2026-02-24T06:18:27.000,0.367326,32.6420503,47,33
91,youth for earth,2026-02-24T06:18:28.000,0.367326,32.6420503,54,36
92,youth for earth,2026-02-24T06:18:29.000,0.367326,32.6420503,54,36
93,youth for earth,2026-02-24T06:18:30.000,0.367326,32.6420503,60,39
94,youth for earth,2026-02-24T06:18:31.000,0.367326,32.6420503,66,43
95,youth for earth,2026-02-24T06:18:32.000,0.367326,32.6420503,79,49
96,youth for earth,2026-02-24T06:18:33.000,0.367326,32.6420503,79,49
97,youth for earth,2026-02-24T06:18:34.000,0.367326,32.6420503,85,52
98,youth for earth,2026-02-24T06:18:35.000,0.367326,32.6420503,101,60
99,youth for earth,2026-02-24T06:18:36.000,0.367326,32.6420503,117,68
100,youth for earth,2026-02-24T06:18:37.000,0.367326,32.6420503,123,71
101,youth for earth,2026-02-24T06:18:38.000,0.367326,32.6420503,123,71
102,youth for earth,2026-02-24T06:18:39.000,0.367326,32.6420503,117,68
103,youth for earth,2026-02-24T06:18:40.000,0.367326,32.6420503,104,62
104,youth for earth,2026-02-24T06:18:41.000,0.367326,32.6420503,91,55
105,youth for earth,2026-02-24T06:18:42.000,0.367326,32.6420503,85,52
106,youth for earth,2026-02-24T06:18:43.000,0.367326,32.6420503,79,49
107,youth for earth,2026-02-24T06:18:44.000,0.367326,32.6420503,66,43
108,youth for earth,2026-02-24T06:18:45.000,0.367326,32.6420503,54,36
109,youth for earth,2026-02-24T06:18:46.000,0.367326,32.6420503,47,33
110,youth for earth,2026-02-24T06:18:47.000,0.367326,32.6420503,42,30
111,youth for earth,2026-02-24T06:18:48.000,0.367326,32.6420503,42,30
112,youth for earth,2026-02-24T06:18:50.000,0.367326,32.6420503,54,36
113,youth for earth,2026-02-24T06:18:51.000,0.367326,32.6420503,60,39
114,youth for earth,2026-02-24T06:18:52.000,0.367326,32.6420503,60,39
115,youth for earth,2026-02-24T06:18:53.000,0.367326,32.6420503,60,39
116,youth for earth,2026-02-24T06:18:54.000,0.367326,32.6420503,60,39
117,youth for earth,2026-02-24T06:18:55.000,0.367326,32.6420503,60,39
118,youth for earth,2026-02-24T06:18:56.000,0.367326,32.6420503,60,39
119,youth for earth,2026-02-24T06:18:57.000,0.367326,32.6420503,60,39
120,youth for earth,2026-02-24T06:18:58.000,0.367326,32.6420503,60,39
121,youth for earth,2026-02-24T06:18:59.000,0.367326,32.6420503,60,39
122,youth for earth,2026-02-24T06:19:00.000,0.367326,32.6420503,57,38
123,youth for earth,2026-02-24T06:19:01.000,0.367326,32.6420503,54,36
124,youth for earth,2026-02-24T06:19:02.000,0.367326,32.6420503,47,33
125,youth for earth,2026-02-24T06:19:03.000,0.367326,32.6420503,60,39
126,youth for earth,2026-02-24T06:19:04.000,0.367326,32.6420503,60,39
127,youth for earth,2026-02-24T06:19:05.000,0.367326,32.6420503,60,39
128,youth for earth,2026-02-24T06:19:06.000,0.367326,32.6420503,54,36
129,youth for earth,2026-02-24T06:19:07.000,0.367326,32.6420503,54,36
130,youth for earth,2026-02-24T06:19:08.000,0.367326,32.6420503,39,29
131,youth for earth,2026-02-24T06:19:09.000,0.367326,32.6420503,42,30
132,youth for earth,2026-02-24T06:19:10.000,0.367326,32.6420503,37,28
133,youth for earth,2026-02-24T06:19:11.000,0.367326,32.6420503,37,28
134,youth for earth,2026-02-24T06:19:12.000,0.367326,32.6420503,37,28
135,youth for earth,2026-02-24T06:19:13.000,0.367326,32.6420503,42,30
136,youth for earth,2026-02-24T06:19:14.000,0.367326,32.6420503,47,33
137,youth for earth,2026-02-24T06:19:15.000,0.367326,32.6420503,47,33
138,youth for earth,2026-02-24T06:19:16.000,0.367326,32.6420503,57,38
139,youth for earth,2026-02-24T06:19:17.000,0.367326,32.6420503,60,39
140,youth for earth,2026-02-24T06:19:18.000,0.367326,32.6420503,66,43
141,youth for earth,2026-02-24T06:19:19.000,0.367326,32.6420503,79,49
142,youth for earth,2026-02-24T06:19:21.000,0.367326,32.6420503,85,52
143,youth for earth,2026-02-24T06:19:23.000,0.367326,32.6420503,85,52
144,youth for earth,2026-02-24T06:19:24.000,0.367326,32.6420503,91,55
145,youth for earth,2026-02-24T06:19:25.000,0.367326,32.6420503,98,55
146,youth for earth,2026-02-24T06:19:27.000,0.367326,32.6420503,91,55
147,youth for earth,2026-02-24T06:19:28.000,0.367326,32.6420503,91,55
148,youth for earth,2026-02-24T06:19:29.000,0.367326,32.6420503,91,55
149,youth for earth,2026-02-24T06:19:30.000,0.367326,32.6420503,79,49
150,youth for earth,2026-02-24T06:19:31.000,0.367326,32.6420503,85,52
151,youth for earth,2026-02-24T06:19:32.000,0.367326,32.6420503,79,49
152,youth for earth,2026-02-24T06:19:33.000,0.367326,32.6420503,79,49
153,youth for earth,2026-02-24T06:19:34.000,0.367326,32.6420503,63,41
154,youth for earth,2026-02-24T06:19:35.000,0.367326,32.6420503,60,39
155,youth for earth,2026-02-24T06:19:36.000,0.367326,32.6420503,60,39
156,youth for earth,2026-02-24T06:19:37.000,0.367326,32.6420503,54,36
157,youth for earth,2026-02-24T06:19:38.000,0.367326,32.6420503,54,36
158,youth for earth,2026-02-24T06:19:39.000,0.367326,32.6420503,66,43
159,youth for earth,2026-02-24T06:19:40.000,0.367326,32.6420503,98,58
160,youth for earth,2026-02-24T06:19:41.000,0.367326,32.6420503,117,68
161,youth for earth,2026-02-24T06:19:42.000,0.367326,32.6420503,136,77
162,youth for earth,2026-02-24T06:19:43.000,0.367326,32.6420503,167,93
163,youth for earth,2026-02-24T06:19:44.000,0.367326,32.6420503,181,100
164,youth for earth,2026-02-24T06:19:45.000,0.367326,32.6420503,191,105
165,youth for earth,2026-02-24T06:19:46.000,0.367326,32.6420503,250,134
166,youth for earth,2026-02-24T06:19:47.000,0.367326,32.6420503,281,150
167,youth for earth,2026-02-24T06:19:48.000,0.367326,32.6420503,284,152
168,youth for earth,2026-02-24T06:19:49.000,0.367326,32.6420503,288,153
169,youth for earth,2026-02-24T06:19:50.000,0.367326,32.6420503,302,161
170,youth for earth,2026-02-24T06:19:51.000,0.367326,32.6420503,314,166
171,youth for earth,2026-02-24T06:19:52.000,0.367326,32.6420503,326,172
172,youth for earth,2026-02-24T06:19:54.000,0.367326,32.6420503,353,186
173,youth for earth,2026-02-24T06:19:56.000,0.367326,32.6420503,372,196
174,youth for earth,2026-02-24T06:19:57.000,0.367326,32.6420503,341,180
175,youth for earth,2026-02-24T06:19:58.000,0.367326,32.6420503,341,180
176,youth for earth,2026-02-24T06:19:59.000,0.367326,32.6420503,337,178
177,youth for earth,2026-02-24T06:20:00.000,0.367326,32.6420503,310,165
178,youth for earth,2026-02-24T06:20:01.000,0.367326,32.6420503,298,159
179,youth for earth,2026-02-24T06:20:02.000,0.367326,32.6420503,267,143
180,youth for earth,2026-02-24T06:20:03.000,0.367326,32.6420503,246,133
181,youth for earth,2026-02-24T06:20:04.000,0.367326,32.6420503,246,133
182,youth for earth,2026-02-24T06:20:05.000,0.367326,32.6420503,226,122
183,youth for earth,2026-02-24T06:20:06.000,0.367326,32.6420503,214,116
184,youth for earth,2026-02-24T06:20:07.000,0.367326,32.6420503,201,110
185,youth for earth,2026-02-24T06:20:08.000,0.367326,32.6420503,174,96
186,youth for earth,2026-02-24T06:20:09.000,0.367326,32.6420503,146,83
187,youth for earth,2026-02-24T06:20:10.000,0.367326,32.6420503,133,76
188,youth for earth,2026-02-24T06:20:11.000,0.367326,32.6420503,110,65
189,youth for earth,2026-02-24T06:20:12.000,0.367326,32.6420503,98,58
190,youth for earth,2026-02-24T06:20:13.000,0.367326,32.6420503,91,55
191,youth for earth,2026-02-24T06:20:14.000,0.367326,32.6420503,85,52
192,youth for earth,2026-02-24T06:20:15.000,0.367326,32.6420503,85,52
193,youth for earth,2026-02-24T06:20:16.000,0.367326,32.6420503,79,49
194,youth for earth,2026-02-24T06:20:17.000,0.367326,32.6420503,79,49
195,youth for earth,2026-02-24T06:20:18.000,0.367326,32.6420503,79,49
196,youth for earth,2026-02-24T06:20:19.000,0.367326,32.6420503,79,49
197,youth for earth,2026-02-24T06:20:20.000,0.367326,32.6420503,79,49
198,youth for earth,2026-02-24T06:20:21.000,0.367326,32.6420503,73,46
199,youth for earth,2026-02-24T06:20:23.000,0.367326,32.6420503,73,46
200,youth for earth,2026-02-24T06:20:25.000,0.367326,32.6420503,85,52
